o_iso,d_iso,year,Business Services,Financial Services,Leisure and Entertainment,Metals,Plastics and Rubber,Warehousing and Storage,Aerospace,Agribusiness,Beverages,"Coal, Oil and Natural Gas",Communications,Electronics,Healthcare,Hotels and Tourism,"Industrial Machinery, Equipment and Tools",Non-Automotive Transport OEM,Software and IT Services,Textiles,Transportation,"Paper, Printing and Packaging",Consumer Products,Building and Construction Materials,Automotive Components,Real Estate,Medical Devices,Minerals,Wood Products,Semiconductors,Ceramics and Glass,Chemicals,Engines and Turbines,Pharmaceuticals,Biotechnology,Business Machines and Equipment
AUT,CHE,2007,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,CHE,2008,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,CHE,2017,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,CHE,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AUT,CHE,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,CHE,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,CHL,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,CHL,2006,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,CHL,2013,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,CHL,2016,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,CHN,2016,0,0,0,5,0,0,0,5,0,0,0,2,0,0,3,0,0,0,5,0,0,0,9,0,0,0,0,0,0,14,0,0,0,0
AUT,CHN,2017,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,CHN,2003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,3,0,0,4,0,0,0,0,0,3,0,0,0,0,0
AUT,CHN,2005,0,0,0,2,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0
AUT,CHN,2008,2,7,0,0,1,0,0,0,4,0,0,7,0,0,0,0,0,0,24,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
AUT,CHN,2010,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,1,2,6,0,0,2,4,0,0,0,0,0,2,1,0,0,0,0
AUT,CHN,2011,2,0,0,5,0,0,0,0,0,0,0,7,0,0,2,0,0,5,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
AUT,CHN,2012,0,0,0,0,1,0,0,0,0,0,0,8,0,0,4,0,2,2,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0
AUT,CHN,2013,0,0,0,12,1,0,0,0,2,0,0,0,0,0,5,0,0,4,0,0,0,1,14,0,0,0,0,0,0,9,3,0,0,0
AUT,CHN,2014,0,0,0,16,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,8,0,1,0,0,0,0,5,0,0,0,0,0,0
AUT,CHN,2015,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
AUT,CHN,2004,0,7,0,0,3,0,0,0,4,0,0,10,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,5,0,0,0
AUT,CHN,2009,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUT,CHN,2007,0,0,0,0,5,0,0,0,0,0,3,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AUT,CHN,2006,0,14,0,6,0,0,0,0,0,16,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,CHN,2018,0,0,0,1,6,0,0,0,0,0,0,2,0,0,1,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
AUT,COL,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,COL,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,CRI,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,DZA,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,EGY,2009,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,EGY,2010,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
